id,leiden_label,infomap_label,tsne-one,tsne-two
57704,2,0,0.5187954,30.285389
57706,2,0,1.6545357,26.07501
57794,2,2,-18.553743,39.27341
57879,0,0,21.490139,-8.216955
57918,1,1,17.64485,39.040283
57944,0,0,12.596067,-5.6014614
57977,0,0,-18.46023,-12.645259
58046,1,1,20.384373,49.91692
58223,2,0,-16.653435,23.123617
58273,-1,-1,10.77047,-50.972046
58295,-1,0,9.450101,-53.993973
58319,2,0,-6.7489643,26.160444
58328,0,0,-22.327497,-3.7799733
58456,0,0,-29.67134,-4.9395585
58463,2,2,-24.835804,51.74596
58481,1,-1,25.529318,43.400154
58533,1,1,25.343067,38.74607
58575,2,0,-1.7821043,12.168198
58586,0,0,6.939732,-11.28846
58591,2,0,-7.4344716,27.738302
58610,1,-1,30.835835,-6.1284018
58615,0,0,13.56448,-6.9467525
58642,1,0,11.966986,7.3314843
58660,2,0,-31.039581,28.479517
58678,0,0,11.191548,-10.884841
58739,0,4,11.288052,-44.89332
58746,-1,-1,-13.47526,-38.02734
58753,0,0,-29.86957,3.9961162
58755,1,0,34.65825,1.0292886
58757,2,0,-24.975096,12.2962475
58784,-1,-1,28.26334,-19.49261
58812,0,0,-17.844685,-19.909727
58839,2,0,-26.678955,28.02378
58840,2,0,-27.368067,27.763378
58848,0,0,-17.390095,-20.556545
58878,1,0,20.593754,13.963473
58905,1,1,34.13311,41.389633
58907,2,0,-36.238487,3.6021261
58909,1,1,35.530094,45.99713
58912,1,3,35.185818,25.221022
58952,0,0,-3.460144,2.3820648
58964,0,0,19.544287,-22.810995
58991,1,1,34.66008,21.118666
59010,1,-1,33.260067,-6.5020723
59024,0,0,-16.206423,-44.697685
59050,1,0,15.420442,32.464214
59054,0,0,-16.783928,-31.11982
59066,0,0,-1.452823,-14.471896
59068,0,0,-4.2258873,-43.964756
59101,0,4,10.364165,-46.77299
59123,0,0,-23.675552,-16.313194
59125,0,0,-13.002019,-3.4038248
59161,-1,-1,-4.725669,-63.079006
59162,1,1,28.431684,37.757896
59207,1,0,31.253002,5.5908093
59343,2,0,0.57524145,26.72391
59354,-1,-1,43.434296,-2.6993043
59363,2,0,27.610113,0.8968533
59394,1,1,27.70706,37.91574
59402,0,0,0.84553945,-44.706562
59604,2,0,-24.52028,22.261066
59622,0,0,-12.368426,3.0899887
59624,1,0,29.25203,-0.51461655
59625,1,1,17.830221,50.51559
59657,0,0,0.2675633,-32.77177
59669,-1,-1,13.985885,-52.879555
59726,0,0,-26.67001,-33.763035
59763,2,2,-33.95395,48.55713
59783,0,0,-31.132416,-26.266989
